product_name,brand,category,subcategory,size,mrp,discount_pct,selling_price,price_per_unit,stock,rating,review_count,source,search_category
"Babyhug Advanced Pant Style Diapers Medium (M) Size - 76 Pieces, Honeycomb Technology, Cottony Soft Diaper with 3D Leak Guard, Latex & Alcohol Free, Anti-rash & Gentle",Babyhug,Diapering,Baby Diapers,Medium,1289.0,47.0,681.75,8.97,114156,4.1,17639,FirstCry,diapering
R for Rabbit Large L Size Premium Feather Diaper for Baby 9 to 14 kgs (70 Pack Offer),R for Rabbit,Diapering,Baby Diapers,Large,1899.0,24.0,1451.6,20.74,236,4.45,905,FirstCry,diapering
"Pampers Active baby Tape Style Baby Diapers, Large (L), 100 Count, 9-14 kg, Adjustable Fit with 5 Star Skin Protection Diapers",Pampers,Diapering,Baby Diapers,Large,2249.0,19.0,1812.47,18.12,440,4.48,4491,FirstCry,diapering
Pampers Premium Care Pants L 176 | No Marks Design | India's Softest Diaper,Pampers,Diapering,Baby Diapers,Large,5696.0,40.0,3429.56,19.49,175,4.48,5637,FirstCry,diapering
"Pampers Complete Skin Comfort Pants (XXL) 42 Count,15-25kg, Anti-rash blanket, 360 degree Lotion with Aloe Vera",Pampers,Diapering,Baby Diapers,XXL,1499.0,33.0,1010.18,24.05,2866,4.24,6996,FirstCry,diapering
"MamyPoko Pants Extra Absorb Baby Diapers, Extra Extra Large (XXL size) | 15-25 kg | 44 Count |Deep Sleep Diapers| Soft gentle fit |Deep Absorbent Crisscross | skin friendly with coconut oil |",MamyPoko,Diapering,Baby Diapers,XXL,1312.0,36.0,835.74,18.99,337,4.41,1381,FirstCry,diapering
Babyhug Pro Bubble Care Premium Pant Style Diapers Double Extra Large (XXL) Size - 30 Pieces - New & Improved Superior Fit,Babyhug,Diapering,Baby Diapers,XXL,1449.0,43.0,825.93,27.53,35211,4.27,3330,FirstCry,diapering
Wowper Fresh Baby Diaper Pants By DOMS| Wetness Indicator | Upto 12 Hrs Absorption | 9-14 Kg | L  (62 Pieces),Wowper,Diapering,Baby Diapers,Large,1029.0,54.0,473.34,7.63,12599,4.05,1154,FirstCry,diapering
"Pampers Active baby Tape Style Baby Diapers, Extra Large (XL), 72 Count, 12+ kg, Adjustable Fit with 5 Star Skin Protection Diapers",Pampers,Diapering,Baby Diapers,XL,2100.0,8.0,1938.51,26.92,630,4.48,4491,FirstCry,diapering
R for Rabbit Medium Size Premium Feather Diaper for Baby 7 to 12 kgs (74 Combo Pack Offer),R for Rabbit,Diapering,Baby Diapers,Medium,1899.0,21.0,1491.85,20.16,140,4.45,905,FirstCry,diapering
R for Rabbit XXXL Size Baby Premium Feather Diaper for Baby 18+ kgs (24 Combo Pack Offer),R for Rabbit,Diapering,Baby Diapers,XXXL,738.0,22.0,574.98,23.96,6019,4.45,905,FirstCry,diapering
Babyhug Premium 98% Water Baby Wet Wipes with Moisturising Aloe Vera With Lid - 80 Pieces,Babyhug,Diapering,Baby Wipes,With Lid,160.0,37.0,100.8,0.0,120068,4.33,3012,FirstCry,diapering
R for Rabbit XXL Size Baby Premium Feather Diaper for Baby 15+ kgs (72 Pack Offer),R for Rabbit,Diapering,Baby Diapers,XX Large,2097.0,23.0,1619.3,22.49,468,4.45,905,FirstCry,diapering
Pampers Premium Care Pants M 54 | No Marks Design | India's Softest Diaper,Pampers,Diapering,Baby Diapers,Medium,1399.0,33.0,943.21,17.47,3126,4.48,5637,FirstCry,diapering
Pampers Premium Care Pants Baby Diapers (XL) Size - 14 Pieces,Pampers,Diapering,Baby Diapers,Extra Large,350.0,8.0,322.0,23.0,1006,4.48,5637,FirstCry,diapering
Babyhug Pro Bubble Care Premium Tape Style Diaper Medium - 80 Pieces - New & Improved Superior Fit,Babyhug,Diapering,Baby Diapers,Medium (M),1999.0,51.0,985.11,12.31,5326,4.32,1895,FirstCry,diapering
Pampers Premium Care Pants XXXL 19 | No Marks Design | India's Softest Diaper,Pampers,Diapering,Baby Diapers,XXXL,1399.0,43.0,799.11,42.06,1021,4.48,5637,FirstCry,diapering
"Pampers Active Baby Taped Diapers, Small size diapers, (S) 92 count, taped style custom fit",Pampers,Diapering,Baby Diapers,Small,1699.0,8.0,1567.16,17.03,550,4.48,4491,FirstCry,diapering
Pampers Premium Care Pants L 44 | No Marks Design | India's Softest Diaper,Pampers,Diapering,Baby Diapers,Large,1499.0,40.0,898.35,20.42,10179,4.48,5637,FirstCry,diapering
Babyhug Pro Bubble Care Premium Tape Style Diaper Newborn (NB) Size - 86 Pieces - New & Improved Superior Fit,Babyhug,Diapering,Baby Diapers,Newborn (NB),1649.0,47.0,870.51,10.12,37193,4.32,1895,FirstCry,diapering
Wowper Fresh Baby Diaper Pants By DOMS | Witness Indicator | Upto 12 Hrs Absorption | 14-17 Kg | XL  (56 Pieces),Wowper,Diapering,Baby Diapers,Extra Large,1029.0,54.0,473.34,8.45,5513,4.05,1154,FirstCry,diapering
Pampers Premium Care Pants S 26 | No Marks Design | India's Softest Diaper,Pampers,Diapering,Baby Diapers,Small,350.0,7.0,325.01,12.5,3780,4.48,5637,FirstCry,diapering
